setID	setSize	name	namespace	distance	cMatrix
M18155	137	KEGG_INSULIN_SIGNALING_PATHWAY	C2	Insulin signaling pathway	1.43805723188002
M18256	11	KEGG_SULFUR_METABOLISM	C2	Sulfur metabolism	-1.23372153573746
M18306	210	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	C2	Regulation of actin cytoskeleton	3
M1835	65	KEGG_GLIOMA	C2	Glioma	3
M19096	41	KEGG_BLADDER_CANCER	C2	Bladder cancer	2.11069829749369
M19428	148	KEGG_WNT_SIGNALING_PATHWAY	C2	Wnt signaling pathway	1.42148813044683
M19708	47	KEGG_TYPE_II_DIABETES_MELLITUS	C2	Type II diabetes mellitus	1.7390340562064
M1979	100	KEGG_GNRH_SIGNALING_PATHWAY	C2	GnRH signaling pathway	1.7390340562064
M19818	54	KEGG_NON_SMALL_CELL_LUNG_CANCER	C2	Non-small cell lung cancer	3
M19877	52	KEGG_ENDOMETRIAL_CANCER	C2	Endometrial cancer	2.11069829749369
M19888	57	KEGG_ACUTE_MYELOID_LEUKEMIA	C2	Acute myeloid leukemia	1.58580426097803
M2164	115	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	C2	Leukocyte transendothelial migration	1.51759314881865
M2890	177	KEGG_CALCIUM_SIGNALING_PATHWAY	C2	Calcium signaling pathway	3
M3115	70	KEGG_LONG_TERM_POTENTIATION	C2	Long-term potentiation	1.80966830182971
M321	73	KEGG_CHRONIC_MYELOID_LEUKEMIA	C2	Chronic myeloid leukemia	3
M3228	84	KEGG_SMALL_CELL_LUNG_CANCER	C2	Small cell lung cancer	3
M3578	84	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	C2	Progesterone-mediated oocyte maturation	1.42148813044683
M3812	53	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	C2	Amyotrophic lateral sclerosis (ALS)	1.80966830182971
M3896	54	KEGG_INOSITOL_PHOSPHATE_METABOLISM	C2	Inositol phosphate metabolism	1.87661509146032
M4013	90	KEGG_GAP_JUNCTION	C2	Gap junction	1.51759314881865
M4844	184	KEGG_CHEMOKINE_SIGNALING_PATHWAY	C2	Chemokine signaling pathway	1.18045606445813
M523	29	KEGG_THYROID_CANCER	C2	Thyroid cancer	1.87661509146032
M5436	75	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	C2	B cell receptor signaling pathway	1.42148813044683
M5539	128	KEGG_AXON_GUIDANCE	C2	Axon guidance	3
M6370	66	KEGG_P53_SIGNALING_PATHWAY	C2	p53 signaling pathway	3
M638	73	KEGG_ADHERENS_JUNCTION	C2	Adherens junction	1.32472170959809
M7098	84	KEGG_ECM_RECEPTOR_INTERACTION	C2	ECM-receptor interaction	3
M7253	199	KEGG_FOCAL_ADHESION	C2	Focal adhesion	3
M7561	52	KEGG_MTOR_SIGNALING_PATHWAY	C2	mTOR signaling pathway	1.55748687370354
M7963	123	KEGG_CELL_CYCLE	C2	Cell cycle	1.80966830182971
M8232	69	KEGG_LONG_TERM_DEPRESSION	C2	Long-term depression	2.11069829749369
M835	90	KEGG_DILATED_CARDIOMYOPATHY	C2	Dilated cardiomyopathy	3
M8492	86	KEGG_APOPTOSIS	C2	Apoptosis	1.80966830182971
M8728	83	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	C2	Hypertrophic cardiomyopathy (HCM)	3
M9052	76	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	C2	Phosphatidylinositol signaling system	2.11069829749369
M9387	114	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	C2	Vascular smooth muscle contraction	1.55748687370354
M9726	70	KEGG_PANCREATIC_CANCER	C2	Pancreatic cancer	3
M9904	108	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	C2	T cell receptor signaling pathway	1.16809976921807
