name	nAnno	nOverlap	zscore	pvalue	adjp	namespace	distance	members
abnormal gland physiology	652	8	4.06	0.00023	0.0023	Mammalian_phenotype	2	Bcl2,Rb1,Itpr2,Notch2,Klf4,Cckar,Taf7,Perp
abnormal neuronal precursor proliferation	92	3	4.87	0.00024	0.0023	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
increased physiological sensitivity to xenobiotic	268	5	4.39	0.00024	0.0023	Mammalian_phenotype	3	Spp1,Cat,Klf4,Abcg2,Ranbp2
decreased sensitivity to induced cell death	91	3	4.91	0.00023	0.0023	Mammalian_phenotype	5	Spp1,Cd44,Perp
abnormal blood vessel endothelium morphology	94	3	4.81	0.00026	0.0023	Mammalian_phenotype	4	Bcl2,Cd44,Notch2
complete neonatal lethality	670	8	3.97	0.00028	0.0023	Mammalian_phenotype	7	Rb1,Atoh1,Sox2,Notch2,Klf4,Nxf3,Atg3,Olig3
increased organ/body region tumor incidence	687	8	3.88	0.00034	0.0028	Mammalian_phenotype	5	Bcl2,Rb1,Sox2,Cd44,Cat,Notch2,Ranbp2,Perp
decreased sensory neuron number	186	4	4.32	0.00036	0.0029	Mammalian_phenotype	6	Bcl2,Rb1,Atoh1,Sox2
decreased neutrophil cell number	105	3	4.49	4e-04	0.003	Mammalian_phenotype	9	Spp1,Cxcl5,Cxcl15
partial prenatal lethality	417	6	3.98	4e-04	0.003	Mammalian_phenotype	5	Rb1,Sox2,Tbx3,Notch2,Zfp42,Olig3
abnormal organ/body region tumor incidence	699	8	3.83	0.00038	0.003	Mammalian_phenotype	4	Bcl2,Rb1,Sox2,Cd44,Cat,Notch2,Ranbp2,Perp
abnormal blood urea nitrogen level	192	4	4.23	0.00042	0.0031	Mammalian_phenotype	4	Bcl2,Spp1,Cd44,Notch2
deafness	108	3	4.41	0.00045	0.0032	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
abnormal gas homeostasis	567	7	3.81	0.00047	0.0033	Mammalian_phenotype	3	Bcl2,Rb1,Atoh1,Spp1,Klf7,Notch2,Olig3
abnormal response to tactile stimuli	110	3	4.36	0.00048	0.0033	Mammalian_phenotype	5	Rb1,Spp1,Klf7
abnormal hippocampus neuron morphology	111	3	4.34	0.00049	0.0033	Mammalian_phenotype	4	Sox2,Klf7,Plcb1
abnormal spinal reflex	110	3	4.36	0.00048	0.0033	Mammalian_phenotype	6	Rb1,Spp1,Klf7
decreased granulocyte number	202	4	4.08	0.00053	0.0035	Mammalian_phenotype	7	Spp1,Cd44,Cxcl5,Cxcl15
abnormal pituitary gland morphology	117	3	4.19	6e-04	0.0038	Mammalian_phenotype	5	Rb1,Sox2,Notch2
abnormal induced morbidity/mortality	588	7	3.69	6e-04	0.0038	Mammalian_phenotype	2	Gucy2c,Rb1,Spp1,Cd44,Cat,Cxcl5,Atg3
abnormal thymus physiology	117	3	4.19	6e-04	0.0038	Mammalian_phenotype	3	Bcl2,Taf7,Perp
abnormal circulating amino acid level	210	4	3.97	0.00063	0.0039	Mammalian_phenotype	4	Bcl2,Spp1,Cd44,Atg3
abnormal intestinal mucosa morphology	214	4	3.92	0.00068	0.0042	Mammalian_phenotype	5	Bcl2,Rb1,Atoh1,Klf4
abnormal innate immunity	608	7	3.58	0.00075	0.0043	Mammalian_phenotype	3	Bcl2,Spp1,Mepe,Cd44,Ptpre,Cxcl5,Mpp1
increased incidence of tumors by chemical induction	123	3	4.06	0.00073	0.0043	Mammalian_phenotype	4	Cat,Klf4,Ranbp2
decreased T cell proliferation	217	4	3.88	0.00073	0.0043	Mammalian_phenotype	9	Rb1,Cd44,Atg3,Taf7
abnormal redox activity	125	3	4.02	0.00077	0.0044	Mammalian_phenotype	3	Cat,Abcg2,Atg3
abnormal breathing pattern	337	5	3.7	8e-04	0.0045	Mammalian_phenotype	5	Rb1,Atoh1,Sox2,Cd44,Klf7
abnormal neuron proliferation	128	3	3.95	0.00085	0.0047	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
abnormal cell morphology	627	7	3.49	0.00091	0.005	Mammalian_phenotype	2	Rb1,Sox2,Cd44,Abcg2,Nxf3,Ranbp2,Zfp42
abnormal forebrain morphology	981	9	3.31	0.0011	0.005	Mammalian_phenotype	4	Rb1,Sox2,Spp1,Klf7,Plcb1,Notch2,Cckar,Prok2,Olig3
abnormal telencephalon morphology	791	8	3.42	0.00094	0.005	Mammalian_phenotype	5	Rb1,Sox2,Spp1,Klf7,Plcb1,Cckar,Prok2,Olig3
neonatal lethality	977	9	3.32	0.0011	0.005	Mammalian_phenotype	6	Rb1,Atoh1,Sox2,Cd44,Notch2,Klf4,Nxf3,Atg3,Olig3
neuron degeneration	356	5	3.55	0.0011	0.005	Mammalian_phenotype	4	Bcl2,Rb1,Atoh1,Sox2,Notch2
arteriosclerosis	137	3	3.78	0.0011	0.005	Mammalian_phenotype	5	Bcl2,Spp1,Cd44
abnormal brainstem morphology	234	4	3.68	0.001	0.005	Mammalian_phenotype	4	Bcl2,Atoh1,Spp1,Olig3
abnormal circulating creatinine level	136	3	3.8	0.0011	0.005	Mammalian_phenotype	5	Bcl2,Spp1,Cd44
atherosclerotic lesions	132	3	3.87	0.00095	0.005	Mammalian_phenotype	6	Bcl2,Spp1,Cd44
abnormal neuronal migration	132	3	3.87	0.00095	0.005	Mammalian_phenotype	4	Atoh1,Cckar,Olig3
increased liver tumor incidence	136	3	3.8	0.0011	0.005	Mammalian_phenotype	7	Rb1,Cat,Ranbp2
abnormal circulating interleukin-6 level	137	3	3.78	0.0011	0.005	Mammalian_phenotype	8	Spp1,Cd44,Cxcl5
abnormal respiratory epithelium morphology	237	4	3.64	0.0011	0.005	Mammalian_phenotype	3	Rb1,Sox2,Notch2,Cckar
abnormal motile cilium morphology	133	3	3.85	0.00098	0.005	Mammalian_phenotype	4	Sox2,Nxf3,Zfp42
abnormal neuroendocrine gland morphology	139	3	3.74	0.0011	0.0051	Mammalian_phenotype	4	Rb1,Sox2,Notch2
cyanosis	239	4	3.62	0.0011	0.0051	Mammalian_phenotype	4	Atoh1,Klf7,Notch2,Olig3
increased hepatobiliary system tumor incidence	138	3	3.76	0.0011	0.0051	Mammalian_phenotype	6	Rb1,Cat,Ranbp2
abnormal intestinal epithelium morphology	243	4	3.57	0.0012	0.0053	Mammalian_phenotype	4	Bcl2,Rb1,Atoh1,Klf4
abnormal sex gland morphology	821	8	3.3	0.0012	0.0053	Mammalian_phenotype	3	Bcl2,Rb1,Sox2,Plcb1,Notch2,Klf4,Nxf3,Zfp42
decreased susceptibility to bacterial infection	142	3	3.69	0.0012	0.0054	Mammalian_phenotype	6	Gucy2c,Spp1,Cxcl5
enlarged kidney	144	3	3.65	0.0013	0.0056	Mammalian_phenotype	5	Bcl2,Plcb1,Cckar
abnormal digestive system physiology	669	7	3.28	0.0014	0.0058	Mammalian_phenotype	2	Gucy2c,Rb1,Atoh1,Sox2,Cd44,Itpr2,Cckar
increased circulating alkaline phosphatase level	147	3	3.6	0.0014	0.0059	Mammalian_phenotype	7	Rb1,Zfp715,Notch2
abnormal somatic sensory system morphology	683	7	3.22	0.0016	0.0062	Mammalian_phenotype	4	Bcl2,Rb1,Atoh1,Sox2,Klf7,Notch2,Cckar
altered susceptibility to infection	683	7	3.22	0.0016	0.0062	Mammalian_phenotype	4	Gucy2c,Rb1,Spp1,Cd44,Notch2,Cxcl5,Cxcl15
abnormal T cell physiology	681	7	3.23	0.0016	0.0062	Mammalian_phenotype	6	Bcl2,Rb1,Cd44,Notch2,Atg3,Taf7,Perp
abnormal neuron apoptosis	256	4	3.44	0.0015	0.0062	Mammalian_phenotype	4	Rb1,Spp1,Notch2,Perp
increased lung tumor incidence	151	3	3.53	0.0016	0.0062	Mammalian_phenotype	7	Bcl2,Rb1,Ranbp2
increased respiratory system tumor incidence	151	3	3.53	0.0016	0.0062	Mammalian_phenotype	6	Bcl2,Rb1,Ranbp2
taste/olfaction phenotype	153	3	3.5	0.0016	0.0063	Mammalian_phenotype	1	Sox2,Notch2,Cckar
abnormal incidence of induced tumors	260	4	3.4	0.0016	0.0063	Mammalian_phenotype	4	Spp1,Cat,Klf4,Ranbp2
abnormal bone mineralization	156	3	3.45	0.0018	0.0066	Mammalian_phenotype	4	Spp1,Ibsp,Mepe
abnormal amino acid level	264	4	3.36	0.0017	0.0066	Mammalian_phenotype	3	Bcl2,Spp1,Cd44,Atg3
increased blood urea nitrogen level	159	3	3.41	0.0019	0.007	Mammalian_phenotype	5	Bcl2,Spp1,Notch2
abnormal crypts of Lieberkuhn morphology	161	3	3.38	0.002	0.0073	Mammalian_phenotype	4	Bcl2,Atoh1,Klf4
abnormal nose morphology	162	3	3.36	0.002	0.0073	Mammalian_phenotype	3	Bcl2,Notch2,Cckar
abnormal facial morphology	709	7	3.11	0.002	0.0073	Mammalian_phenotype	3	Bcl2,Rb1,Sox2,Tbx3,Notch2,Klf4,Cckar
increased incidence of induced tumors	166	3	3.31	0.0022	0.0078	Mammalian_phenotype	5	Cat,Klf4,Ranbp2
abnormal somatic nervous system morphology	891	8	3.03	0.0022	0.0078	Mammalian_phenotype	3	Bcl2,Rb1,Atoh1,Sox2,Cd44,Klf7,Notch2,Cckar
abnormal respiratory function	413	5	3.14	0.0023	0.0079	Mammalian_phenotype	4	Rb1,Atoh1,Sox2,Cd44,Klf7
abnormal macrophage physiology	413	5	3.14	0.0023	0.0079	Mammalian_phenotype	4	Bcl2,Spp1,Mepe,Cd44,Ptpre
abnormal response to infection	724	7	3.04	0.0023	0.0079	Mammalian_phenotype	3	Gucy2c,Rb1,Spp1,Cd44,Notch2,Cxcl5,Cxcl15
abnormal internal female genitalia morphology	414	5	3.13	0.0023	0.0079	Mammalian_phenotype	5	Bcl2,Rb1,Tbx3,Cd44,Notch2
abnormal cell proliferation	902	8	2.99	0.0024	0.008	Mammalian_phenotype	3	Bcl2,Rb1,Atoh1,Sox2,Cd44,Notch2,Serpinb5,Klf4
abnormal diencephalon morphology	287	4	3.14	0.0025	0.0082	Mammalian_phenotype	5	Rb1,Sox2,Notch2,Olig3
abnormal T cell morphology	909	8	2.97	0.0025	0.0082	Mammalian_phenotype	7	Bcl2,Rb1,Spp1,Cd44,Zfp715,Notch2,Atg3,Taf7
abnormal female genitalia morphology	421	5	3.09	0.0025	0.0082	Mammalian_phenotype	4	Bcl2,Rb1,Tbx3,Cd44,Notch2
altered susceptibility to infection induced morbidity/mortality	171	3	3.24	0.0025	0.0082	Mammalian_phenotype	3	Gucy2c,Spp1,Cxcl5
abnormal mammary gland morphology	174	3	3.19	0.0026	0.0083	Mammalian_phenotype	3	Rb1,Tbx3,Cd44
abnormal female reproductive system morphology	424	5	3.07	0.0026	0.0083	Mammalian_phenotype	3	Bcl2,Rb1,Tbx3,Cd44,Notch2
abnormal kidney weight	173	3	3.21	0.0026	0.0083	Mammalian_phenotype	5	Bcl2,Plcb1,Cckar
abnormal apocrine gland morphology	174	3	3.19	0.0026	0.0083	Mammalian_phenotype	4	Rb1,Tbx3,Cd44
abnormal fluid regulation	744	7	2.96	0.0027	0.0084	Mammalian_phenotype	3	Rb1,Sox2,Tbx3,Cd44,Itpr2,Notch2,Klf4
abnormal long bone morphology	578	6	3	0.0027	0.0084	Mammalian_phenotype	4	Rb1,Ibsp,Tbx3,Cd44,Ptpre,Plcb1
abnormal osteoclast morphology	175	3	3.18	0.0027	0.0084	Mammalian_phenotype	4	Spp1,Cd44,Ptpre
abnormal neutrophil physiology	177	3	3.15	0.0028	0.0085	Mammalian_phenotype	4	Cd44,Cxcl5,Mpp1
abnormal respiration	592	6	2.94	0.0031	0.0093	Mammalian_phenotype	3	Rb1,Atoh1,Sox2,Cd44,Klf7,Olig3
abnormal cochlear hair cell morphology	182	3	3.09	0.0031	0.0093	Mammalian_phenotype	6	Rb1,Atoh1,Sox2
abnormal circulating alkaline phosphatase level	184	3	3.06	0.0032	0.0095	Mammalian_phenotype	6	Rb1,Zfp715,Notch2
abnormal eye development	304	4	3	0.0032	0.0095	Mammalian_phenotype	3	Rb1,Sox2,Notch2,Klf4
abnormal limb long bone morphology	441	5	2.96	0.0032	0.0095	Mammalian_phenotype	5	Rb1,Ibsp,Tbx3,Cd44,Ptpre
abnormal organ of Corti morphology	190	3	2.99	0.0036	0.0098	Mammalian_phenotype	7	Rb1,Atoh1,Sox2
abnormal hair cell morphology	189	3	3	0.0035	0.0098	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
microphthalmia	189	3	3	0.0035	0.0098	Mammalian_phenotype	4	Sox2,Notch2,Klf4
abnormal touch/ nociception	307	4	2.97	0.0034	0.0098	Mammalian_phenotype	2	Rb1,Atoh1,Spp1,Klf7
neurodegeneration	452	5	2.9	0.0036	0.0098	Mammalian_phenotype	3	Bcl2,Rb1,Atoh1,Sox2,Notch2
abnormal cochlear sensory epithelium morphology	188	3	3.02	0.0035	0.0098	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
decreased T cell number	605	6	2.87	0.0035	0.0098	Mammalian_phenotype	9	Bcl2,Rb1,Spp1,Zfp715,Atg3,Taf7
impaired hearing	187	3	3.03	0.0034	0.0098	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
increased adenoma incidence	188	3	3.02	0.0035	0.0098	Mammalian_phenotype	6	Bcl2,Rb1,Cd44
abnormal adenoma incidence	188	3	3.02	0.0035	0.0098	Mammalian_phenotype	5	Bcl2,Rb1,Cd44
abnormal small intestine morphology	197	3	2.91	0.0041	0.01	Mammalian_phenotype	4	Bcl2,Atoh1,Klf4
abnormal testis morphology	612	6	2.84	0.0037	0.01	Mammalian_phenotype	5	Rb1,Sox2,Plcb1,Klf4,Nxf3,Zfp42
abnormal limb bone morphology	463	5	2.83	0.004	0.01	Mammalian_phenotype	3	Rb1,Ibsp,Tbx3,Cd44,Ptpre
abnormal immune organ physiology	193	3	2.96	0.0038	0.01	Mammalian_phenotype	3	Bcl2,Taf7,Perp
decreased acute inflammation	195	3	2.93	0.0039	0.01	Mammalian_phenotype	5	Spp1,Cd44,Cxcl5
decreased double-positive T cell number	197	3	2.91	0.0041	0.01	Mammalian_phenotype	10	Bcl2,Rb1,Taf7
abnormal glucose tolerance	459	5	2.86	0.0039	0.01	Mammalian_phenotype	4	Gucy2c,Bcl2,Spp1,Abcg2,Ranbp2
increased hemolymphoid system tumor incidence	314	4	2.92	0.0037	0.01	Mammalian_phenotype	6	Bcl2,Rb1,Cd44,Notch2
abnormal skin adnexa morphology	968	8	2.77	0.0038	0.01	Mammalian_phenotype	2	Gucy2c,Bcl2,Rb1,Sox2,Tbx3,Cd44,Notch2,Klf4
abnormal sensitivity to induced morbidity/mortality	462	5	2.84	0.004	0.01	Mammalian_phenotype	3	Rb1,Spp1,Cd44,Cat,Atg3
abnormal digestive system morphology	997	8	2.68	0.0047	0.011	Mammalian_phenotype	2	Bcl2,Rb1,Atoh1,Sox2,Tbx3,Itpr2,Notch2,Klf4
uremia	200	3	2.88	0.0043	0.011	Mammalian_phenotype	4	Bcl2,Spp1,Notch2
increased classified tumor incidence	627	6	2.77	0.0042	0.011	Mammalian_phenotype	5	Bcl2,Rb1,Cd44,Notch2,Ranbp2,Perp
abnormal cilium morphology	198	3	2.9	0.0042	0.011	Mammalian_phenotype	3	Sox2,Nxf3,Zfp42
abnormal classified tumor incidence	634	6	2.74	0.0045	0.011	Mammalian_phenotype	4	Bcl2,Rb1,Cd44,Notch2,Ranbp2,Perp
small thymus	332	4	2.78	0.0047	0.012	Mammalian_phenotype	6	Bcl2,Rb1,Atg3,Taf7
abnormal hippocampus morphology	339	4	2.73	0.0051	0.012	Mammalian_phenotype	6	Sox2,Klf7,Plcb1,Olig3
abnormal CD4-positive, alpha beta T cell morphology	479	5	2.74	0.0048	0.012	Mammalian_phenotype	9	Bcl2,Cd44,Zfp715,Atg3,Taf7
abnormal neuron number	480	5	2.74	0.0048	0.012	Mammalian_phenotype	4	Bcl2,Rb1,Atoh1,Sox2,Spp1
abnormal temporal lobe morphology	345	4	2.69	0.0055	0.013	Mammalian_phenotype	7	Sox2,Klf7,Plcb1,Olig3
abnormal mechanoreceptor morphology	212	3	2.75	0.0053	0.013	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
abnormal heart rate	212	3	2.75	0.0053	0.013	Mammalian_phenotype	4	Rb1,Spp1,Tbx3
abnormal eye size	213	3	2.74	0.0054	0.013	Mammalian_phenotype	3	Sox2,Notch2,Klf4
abnormal scala media morphology	215	3	2.72	0.0056	0.013	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
abnormal cochlear labyrinth morphology	216	3	2.71	0.0057	0.013	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
abnormal testis size	497	5	2.65	0.0057	0.013	Mammalian_phenotype	7	Rb1,Sox2,Plcb1,Nxf3,Zfp42
abnormal skin physiology	342	4	2.71	0.0053	0.013	Mammalian_phenotype	2	Cd44,Klf4,Abcg2,Perp
abnormal skin condition	355	4	2.62	0.0062	0.014	Mammalian_phenotype	3	Rb1,Notch2,Abcg2,Perp
abnormal epidermal layer morphology	362	4	2.58	0.0068	0.014	Mammalian_phenotype	3	Rb1,Cd44,Notch2,Klf4
increased susceptibility to infection	514	5	2.56	0.0067	0.014	Mammalian_phenotype	5	Rb1,Spp1,Cd44,Notch2,Cxcl15
oligozoospermia	222	3	2.65	0.0062	0.014	Mammalian_phenotype	5	Sox2,Nxf3,Zfp42
abnormal hindlimb zeugopod morphology	220	3	2.67	0.006	0.014	Mammalian_phenotype	4	Tbx3,Cd44,Ptpre
abnormal wound healing	219	3	2.68	0.006	0.014	Mammalian_phenotype	3	Spp1,Cd44,Klf4
abnormal T cell proliferation	357	4	2.61	0.0064	0.014	Mammalian_phenotype	8	Rb1,Cd44,Atg3,Taf7
abnormal anterior eye segment morphology	515	5	2.56	0.0068	0.014	Mammalian_phenotype	3	Rb1,Sox2,Zfp715,Notch2,Klf4
increased sensitivity to induced morbidity/mortality	354	4	2.63	0.0062	0.014	Mammalian_phenotype	4	Rb1,Spp1,Cd44,Atg3
abnormal alpha-beta T cell morphology	674	6	2.57	0.0063	0.014	Mammalian_phenotype	8	Bcl2,Rb1,Cd44,Zfp715,Atg3,Taf7
abnormal male reproductive gland morphology	676	6	2.57	0.0064	0.014	Mammalian_phenotype	4	Rb1,Sox2,Plcb1,Klf4,Nxf3,Zfp42
abnormal cochlea morphology	231	3	2.56	0.0072	0.015	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
abnormal mouth morphology	526	5	2.5	0.0075	0.015	Mammalian_phenotype	4	Rb1,Sox2,Tbx3,Notch2,Klf4
abnormal cranial nerve morphology	234	3	2.53	0.0075	0.015	Mammalian_phenotype	4	Bcl2,Sox2,Klf7
abnormal skeleton physiology	698	6	2.48	0.0076	0.015	Mammalian_phenotype	2	Rb1,Spp1,Ibsp,Mepe,Cd44,Ptpre
abnormal reflex	685	6	2.53	0.0069	0.015	Mammalian_phenotype	4	Rb1,Atoh1,Sox2,Spp1,Klf7,Plcb1
abnormal kidney size	364	4	2.56	0.0069	0.015	Mammalian_phenotype	4	Bcl2,Plcb1,Notch2,Cckar
abnormal CD8-positive, alpha beta T cell morphology	367	4	2.54	0.0072	0.015	Mammalian_phenotype	9	Bcl2,Cd44,Atg3,Taf7
abnormal circulating protein level	873	7	2.49	0.0072	0.015	Mammalian_phenotype	4	Rb1,Spp1,Cd44,Klf7,Zfp715,Notch2,Cxcl5
decreased CD8-positive, alpha-beta T cell number	230	3	2.57	0.0071	0.015	Mammalian_phenotype	11	Bcl2,Atg3,Taf7
abnormal tumor necrosis factor secretion	230	3	2.57	0.0071	0.015	Mammalian_phenotype	5	Spp1,Cd44,Cxcl5
abnormal internal male genitalia morphology	692	6	2.5	0.0073	0.015	Mammalian_phenotype	5	Rb1,Sox2,Plcb1,Klf4,Nxf3,Zfp42
increased cell proliferation	237	3	2.51	0.0078	0.016	Mammalian_phenotype	4	Bcl2,Rb1,Klf4
abnormal hair follicle morphology	239	3	2.49	0.0081	0.016	Mammalian_phenotype	3	Bcl2,Notch2,Klf4
abnormal head morphology	887	7	2.44	0.0079	0.016	Mammalian_phenotype	2	Bcl2,Rb1,Sox2,Tbx3,Notch2,Klf4,Cckar
abnormal male reproductive system morphology	708	6	2.44	0.0082	0.016	Mammalian_phenotype	3	Rb1,Sox2,Plcb1,Klf4,Nxf3,Zfp42
abnormal double-positive T cell morphology	240	3	2.48	0.0082	0.016	Mammalian_phenotype	9	Bcl2,Rb1,Taf7
abnormal phagocyte morphology	707	6	2.44	0.0081	0.016	Mammalian_phenotype	6	Rb1,Spp1,Cd44,Ptpre,Cxcl5,Cxcl15
abnormal circulating interleukin level	240	3	2.48	0.0082	0.016	Mammalian_phenotype	7	Spp1,Cd44,Cxcl5
abnormal male genitalia morphology	708	6	2.44	0.0082	0.016	Mammalian_phenotype	4	Rb1,Sox2,Plcb1,Klf4,Nxf3,Zfp42
respiratory distress	246	3	2.43	0.0089	0.017	Mammalian_phenotype	6	Rb1,Sox2,Cd44
abnormal coat/hair pigmentation	247	3	2.42	0.009	0.017	Mammalian_phenotype	2	Bcl2,Sox2,Notch2
abnormal limbic system morphology	386	4	2.43	0.0088	0.017	Mammalian_phenotype	5	Sox2,Klf7,Plcb1,Olig3
decreased lymphocyte cell number	909	7	2.37	0.0091	0.017	Mammalian_phenotype	7	Bcl2,Rb1,Spp1,Zfp715,Notch2,Atg3,Taf7
abnormal membranous labyrinth morphology	255	3	2.35	0.01	0.018	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
abnormal hindlimb morphology	397	4	2.36	0.0099	0.018	Mammalian_phenotype	3	Ibsp,Tbx3,Cd44,Ptpre
abnormal triploblastic development	251	3	2.38	0.0096	0.018	Mammalian_phenotype	4	Sox2,Tbx3,Serpinb5
abnormal T cell activation	391	4	2.4	0.0093	0.018	Mammalian_phenotype	7	Rb1,Cd44,Atg3,Taf7
abnormal thymus size	393	4	2.38	0.0095	0.018	Mammalian_phenotype	5	Bcl2,Rb1,Atg3,Taf7
abnormal bone ossification	393	4	2.38	0.0095	0.018	Mammalian_phenotype	3	Rb1,Spp1,Ibsp,Mepe
abnormal induced cell death	250	3	2.39	0.0094	0.018	Mammalian_phenotype	4	Spp1,Cd44,Perp
