Symbol	BLCA	BRCA	COADREAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	UCEC
TRPC6	0.0217391304347826	0.00786369593709043	0.0310880829015544	0.00727272727272727	0.01	0	0	0.0387096774193548	0.0175438596491228	0.00634920634920635	0.00869565217391304
HSPG2	0.0543478260869565	0.0117955439056356	0.00518134715025907	0.0290909090909091	0.0466666666666667	0.0191846522781775	0.00540540540540541	0.0645161290322581	0.0760233918128655	0.0285714285714286	0.0478260869565217
TNRC6C	0.0217391304347826	0.00655307994757536	0.00518134715025907	0.0109090909090909	0.0333333333333333	0.00719424460431655	0	0.0451612903225806	0.0116959064327485	0.00317460317460317	0.0260869565217391
COL6A2	0.0326086956521739	0.00524246395806029	0.0207253886010363	0.0327272727272727	0.0266666666666667	0.0119904076738609	0	0.0193548387096774	0.0292397660818713	0.00634920634920635	0.0391304347826087
PAK7	0.0217391304347826	0.00655307994757536	0.0207253886010363	0.00363636363636364	0.04	0.00239808153477218	0	0.103225806451613	0.0467836257309941	0.00634920634920635	0.00434782608695652
ITGAM	0.0217391304347826	0.00524246395806029	0.0155440414507772	0.0290909090909091	0.0133333333333333	0.00719424460431655	0	0.0903225806451613	0.0409356725146199	0.00317460317460317	0.0173913043478261
BTK	0.0217391304347826	0.00524246395806029	0.00518134715025907	0.00727272727272727	0.0133333333333333	0.00239808153477218	0	0.0387096774193548	0.0526315789473684	0.00317460317460317	0.0173913043478261
TP53	0.510869565217391	0.334207077326343	0.595854922279793	0.294545454545455	0.71	0.0239808153477218	0.0810810810810811	0.535483870967742	0.818713450292398	0.952380952380952	0.282608695652174
STAT1	0.0434782608695652	0.00131061598951507	0.0103626943005181	0.00727272727272727	0.0266666666666667	0.00959232613908873	0	0.0258064516129032	0.0233918128654971	0.00634920634920635	0.0260869565217391
ARAP2	0.0434782608695652	0.00524246395806029	0.0259067357512953	0.0109090909090909	0.02	0.00479616306954436	0.00540540540540541	0.0645161290322581	0.0526315789473684	0.00317460317460317	0.0173913043478261
MAST1	0.0326086956521739	0.0117955439056356	0.0155440414507772	0.00727272727272727	0.0266666666666667	0.00239808153477218	0	0.0451612903225806	0.0233918128654971	0.0126984126984127	0.0391304347826087
TNIK	0.0108695652173913	0.00786369593709043	0.0103626943005181	0.00727272727272727	0.0533333333333333	0.00719424460431655	0	0.0387096774193548	0.0701754385964912	0.0158730158730159	0.0304347826086957
TJP1	0.0108695652173913	0.00786369593709043	0	0.0145454545454545	0.03	0.00479616306954436	0.00540540540540541	0.0580645161290323	0.0467836257309941	0.0126984126984127	0.0260869565217391
NPM1	0	0.00131061598951507	0	0.00363636363636364	0.00333333333333333	0	0.291891891891892	0.0129032258064516	0	0	0.00434782608695652
NCAM1	0.0217391304347826	0.00786369593709043	0.0155440414507772	0.00727272727272727	0.0133333333333333	0.00959232613908873	0	0.0451612903225806	0.0233918128654971	0.00952380952380952	0.00869565217391304
PPP1R3A	0.0217391304347826	0.0104849279161206	0.0207253886010363	0.0290909090909091	0.0266666666666667	0.00959232613908873	0.0108108108108108	0.0774193548387097	0.0935672514619883	0.0317460317460317	0.0391304347826087
SMC1B	0	0.00786369593709043	0	0.00727272727272727	0.0133333333333333	0.00479616306954436	0	0.0193548387096774	0.0467836257309941	0.00952380952380952	0.0173913043478261
ABL1	0.0543478260869565	0.00655307994757536	0.00518134715025907	0.00727272727272727	0.00333333333333333	0.0119904076738609	0.00540540540540541	0.0129032258064516	0.0233918128654971	0.00317460317460317	0.0347826086956522
COL19A1	0.0434782608695652	0.00917431192660551	0.0207253886010363	0.0218181818181818	0.02	0.0119904076738609	0.00540540540540541	0.0967741935483871	0.105263157894737	0.00634920634920635	0.0391304347826087
ARHGAP17	0.0217391304347826	0.00524246395806029	0	0	0.03	0.00719424460431655	0	0.032258064516129	0.0292397660818713	0.00317460317460317	0.0260869565217391
PTEN	0.0326086956521739	0.0380078636959371	0.0155440414507772	0.316363636363636	0.0133333333333333	0.0431654676258993	0	0.0193548387096774	0.0818713450292398	0.00634920634920635	0.634782608695652
HUWE1	0.0869565217391304	0.018348623853211	0.0414507772020725	0.0290909090909091	0.0833333333333333	0.026378896882494	0	0.0967741935483871	0.116959064327485	0.0349206349206349	0.0652173913043478
SIN3A	0.0108695652173913	0.00524246395806029	0.00518134715025907	0.00727272727272727	0.01	0.00719424460431655	0	0.0258064516129032	0.0292397660818713	0.00952380952380952	0.0608695652173913
VAV1	0.0108695652173913	0.00393184796854522	0.0259067357512953	0.0181818181818182	0.0133333333333333	0.00959232613908873	0	0.00645161290322581	0.0292397660818713	0.00952380952380952	0.0260869565217391
RAD50	0.0434782608695652	0.00262123197903014	0.0207253886010363	0.00363636363636364	0.02	0.0119904076738609	0	0.0129032258064516	0.0175438596491228	0.00634920634920635	0.00869565217391304
BRCA2	0.0760869565217391	0.0170380078636959	0.0207253886010363	0.0181818181818182	0.04	0.0215827338129496	0	0.0451612903225806	0.087719298245614	0.0317460317460317	0.0478260869565217
AGRN	0.0108695652173913	0.00393184796854522	0	0.0109090909090909	0.02	0.0119904076738609	0	0.0645161290322581	0.0233918128654971	0	0.0217391304347826
DNMT1	0.0434782608695652	0.00917431192660551	0.0362694300518135	0.0109090909090909	0.02	0.0143884892086331	0.00540540540540541	0.0193548387096774	0.0233918128654971	0.00634920634920635	0.0217391304347826
ARHGEF11	0.0326086956521739	0.00524246395806029	0.0103626943005181	0.00727272727272727	0.0133333333333333	0.00719424460431655	0.00540540540540541	0.032258064516129	0.0467836257309941	0.0126984126984127	0.0304347826086957
EPHB1	0.0543478260869565	0.0117955439056356	0.0310880829015544	0.0145454545454545	0.0333333333333333	0.00239808153477218	0.00540540540540541	0.12258064516129	0.105263157894737	0.0158730158730159	0.0347826086956522
UTRN	0.0978260869565217	0.0157273918741809	0.0362694300518135	0.0145454545454545	0.0466666666666667	0.0143884892086331	0	0.103225806451613	0.0818713450292398	0.0126984126984127	0.0695652173913043
ABCA1	0.0326086956521739	0.00786369593709043	0.0414507772020725	0.00363636363636364	0.0266666666666667	0.0191846522781775	0	0.0258064516129032	0.0701754385964912	0.0126984126984127	0.0347826086956522
CACNA1I	0.0217391304347826	0.00393184796854522	0.0103626943005181	0.0109090909090909	0.0266666666666667	0.0119904076738609	0	0.0645161290322581	0.0701754385964912	0	0.0304347826086957
