name	nAnno	nOverlap	zscore	pvalue	adjp	namespace	distance	members
head and neck cancer	229	4	2.98	0.0032	0.0086	Disease_Ontology	4	Rb1,Klf4,Cd44,Bcl2
endometrial cancer	138	3	3.05	0.0032	0.0086	Disease_Ontology	7	Spp1,Cd44,Bcl2
uterine cancer	139	3	3.04	0.0033	0.0086	Disease_Ontology	6	Spp1,Cd44,Bcl2
bone cancer	232	4	2.95	0.0034	0.0088	Disease_Ontology	6	Rb1,Spp1,Cd44,Bcl2
cell type benign neoplasm	467	6	2.79	0.0039	0.0095	Disease_Ontology	3	Rb1,Spp1,Cd44,Bcl2,Notch2,Gucy2c
reproductive system disease	467	6	2.79	0.0039	0.0095	Disease_Ontology	2	Rb1,Sox2,Spp1,Cat,Cd44,Bcl2
rheumatoid arthritis	466	6	2.8	0.0038	0.0095	Disease_Ontology	7	Rb1,Spp1,Cat,Cd44,Bcl2,Itpr2
connective tissue cancer	351	5	2.8	0.0041	0.0097	Disease_Ontology	5	Rb1,Sox2,Spp1,Cd44,Bcl2
renal carcinoma	350	5	2.81	0.004	0.0097	Disease_Ontology	6	Spp1,Cd44,Bcl2,Notch2,Klf8
bone disease	788	8	2.53	0.006	0.013	Disease_Ontology	4	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Itpr2
lymphoblastic leukemia	380	5	2.59	0.006	0.013	Disease_Ontology	7	Rb1,Cd44,Bcl2,Notch2,Abcg2
astrocytoma	376	5	2.62	0.0057	0.013	Disease_Ontology	5	Rb1,Sox2,Spp1,Bcl2,Abcg2
biliary tract cancer	161	3	2.71	0.0055	0.013	Disease_Ontology	5	Rb1,Spp1,Abcg2
myeloid leukemia	501	6	2.6	0.0057	0.013	Disease_Ontology	7	Spp1,Cat,Cd44,Bcl2,Abcg2,Plcb1
sarcoma	175	3	2.53	0.0074	0.015	Disease_Ontology	4	Rb1,Sox2,Spp1
systemic lupus erythematosus	274	4	2.55	0.0069	0.015	Disease_Ontology	4	Spp1,Cat,Cd44,Bcl2
female reproductive organ cancer	402	5	2.45	0.0079	0.016	Disease_Ontology	5	Spp1,Cd44,Bcl2,Serpinb5,Abcg2
thyroid cancer	180	3	2.47	0.0081	0.016	Disease_Ontology	5	Spp1,Serpinb5,Mpp1
thyroid carcinoma	176	3	2.52	0.0075	0.016	Disease_Ontology	6	Spp1,Serpinb5,Mpp1
autosomal dominant disease	413	5	2.38	0.009	0.017	Disease_Ontology	4	Rb1,Spp1,Cd44,Bcl2,Notch2
musculoskeletal system cancer	413	5	2.38	0.009	0.017	Disease_Ontology	4	Rb1,Sox2,Spp1,Cd44,Bcl2
kidney cancer	412	5	2.39	0.0089	0.017	Disease_Ontology	5	Spp1,Cd44,Bcl2,Notch2,Klf8
glioblastoma multiforme	293	4	2.39	0.0091	0.017	Disease_Ontology	6	Rb1,Sox2,Bcl2,Abcg2
breast cancer	558	6	2.3	0.01	0.018	Disease_Ontology	5	Rb1,Spp1,Klf4,Cd44,Bcl2,Serpinb5
breast ductal carcinoma	188	3	2.38	0.0095	0.018	Disease_Ontology	7	Klf4,Bcl2,Serpinb5
thoracic cancer	558	6	2.3	0.01	0.018	Disease_Ontology	4	Rb1,Spp1,Klf4,Cd44,Bcl2,Serpinb5
renal cell carcinoma	311	4	2.25	0.012	0.02	Disease_Ontology	7	Spp1,Cd44,Bcl2,Notch2
adenoma	308	4	2.28	0.011	0.02	Disease_Ontology	4	Rb1,Cd44,Bcl2,Gucy2c
chronic obstructive pulmonary disease	204	3	2.21	0.013	0.021	Disease_Ontology	6	Spp1,Cat,Bcl2
breast carcinoma	443	5	2.21	0.013	0.021	Disease_Ontology	6	Rb1,Klf4,Cd44,Bcl2,Serpinb5
hereditary breast ovarian cancer	210	3	2.15	0.014	0.023	Disease_Ontology	5	Rb1,Spp1,Bcl2
autonomic nervous system neoplasm	339	4	2.06	0.016	0.027	Disease_Ontology	6	Rb1,Klf4,Cd44,Bcl2
neuroblastoma	339	4	2.06	0.016	0.027	Disease_Ontology	7	Rb1,Klf4,Cd44,Bcl2
lupus erythematosus	349	4	1.99	0.018	0.03	Disease_Ontology	5	Spp1,Cat,Cd44,Bcl2
myeloma	353	4	1.97	0.019	0.031	Disease_Ontology	7	Spp1,Cd44,Bcl2,Abcg2
peripheral nervous system neoplasm	352	4	1.97	0.019	0.031	Disease_Ontology	5	Rb1,Klf4,Cd44,Bcl2
diabetes mellitus	788	7	1.96	0.02	0.031	Disease_Ontology	5	Rb1,Sox2,Spp1,Cat,Klf7,Klf4,Cd44
multiple myeloma	235	3	1.92	0.02	0.031	Disease_Ontology	8	Spp1,Cd44,Abcg2
bone marrow cancer	369	4	1.87	0.023	0.035	Disease_Ontology	6	Spp1,Cd44,Bcl2,Abcg2
gastrointestinal system disease	974	8	1.88	0.023	0.035	Disease_Ontology	2	Rb1,Sox2,Spp1,Cd44,Bcl2,Notch2,Abcg2,Cxcl5
connective tissue disease	979	8	1.86	0.024	0.036	Disease_Ontology	3	Rb1,Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2,Itpr2
carbohydrate metabolism disease	825	7	1.83	0.026	0.037	Disease_Ontology	3	Rb1,Sox2,Spp1,Cat,Klf7,Klf4,Cd44
glucose metabolism disease	825	7	1.83	0.026	0.037	Disease_Ontology	4	Rb1,Sox2,Spp1,Cat,Klf7,Klf4,Cd44
reproductive organ cancer	521	5	1.81	0.026	0.038	Disease_Ontology	4	Spp1,Cd44,Bcl2,Serpinb5,Abcg2
endocrine gland cancer	388	4	1.76	0.028	0.039	Disease_Ontology	4	Spp1,Bcl2,Serpinb5,Mpp1
endocrine system disease	387	4	1.76	0.028	0.039	Disease_Ontology	2	Spp1,Cd44,Bcl2,Prok2
malignant ovarian surface epithelial-stromal neoplasm	265	3	1.69	0.03	0.041	Disease_Ontology	8	Cd44,Bcl2,Serpinb5
ovary epithelial cancer	265	3	1.69	0.03	0.041	Disease_Ontology	7	Cd44,Bcl2,Serpinb5
ovarian carcinoma	265	3	1.69	0.03	0.041	Disease_Ontology	9	Cd44,Bcl2,Serpinb5
ovarian cancer	271	3	1.65	0.032	0.043	Disease_Ontology	6	Cd44,Bcl2,Serpinb5
multiple sclerosis	292	3	1.5	0.04	0.054	Disease_Ontology	6	Spp1,Cat,Abcg2
demyelinating disease	296	3	1.48	0.042	0.056	Disease_Ontology	5	Spp1,Cat,Abcg2
hematopoietic system disease	441	4	1.48	0.045	0.059	Disease_Ontology	3	Cat,Klf4,Bcl2,Notch2
hypersensitivity reaction disease	764	6	1.47	0.049	0.063	Disease_Ontology	3	Spp1,Cat,Cd44,Bcl2,Notch2,Abcg2
cognitive disorder	798	6	1.36	0.059	0.076	Disease_Ontology	2	Spp1,Bcl2,Cckar,Plcb1,Grik3,Napg
obesity	333	3	1.26	0.06	0.077	Disease_Ontology	5	Spp1,Klf7,Prok2
nervous system cancer	483	4	1.29	0.062	0.078	Disease_Ontology	4	Rb1,Klf4,Cd44,Bcl2
overnutrition	339	3	1.22	0.064	0.08	Disease_Ontology	4	Spp1,Klf7,Prok2
asthma	343	3	1.2	0.066	0.081	Disease_Ontology	5	Spp1,Cat,Bcl2
genetic disease	816	6	1.3	0.066	0.081	Disease_Ontology	1	Rb1,Spp1,Cd44,Bcl2,Notch2,Prok2
nutrition disease	350	3	1.17	0.07	0.085	Disease_Ontology	3	Spp1,Klf7,Prok2
bronchial disease	352	3	1.16	0.071	0.086	Disease_Ontology	4	Spp1,Cat,Bcl2
hypersensitivity reaction type II disease	678	5	1.18	0.078	0.093	Disease_Ontology	4	Spp1,Cat,Cd44,Bcl2,Notch2
autosomal genetic disease	688	5	1.14	0.082	0.097	Disease_Ontology	3	Rb1,Spp1,Cd44,Bcl2,Notch2
monogenic disease	720	5	1.03	0.098	0.11	Disease_Ontology	2	Rb1,Spp1,Cd44,Bcl2,Notch2
myopathy	393	3	0.953	0.098	0.11	Disease_Ontology	5	Spp1,Bcl2,Itpr2
muscle tissue disease	393	3	0.953	0.098	0.11	Disease_Ontology	4	Spp1,Bcl2,Itpr2
muscular disease	403	3	0.907	0.1	0.12	Disease_Ontology	3	Spp1,Bcl2,Itpr2
hepatitis	418	3	0.841	0.12	0.13	Disease_Ontology	5	Rb1,Spp1,Bcl2
liver disease	593	4	0.852	0.12	0.14	Disease_Ontology	4	Rb1,Spp1,Bcl2,Notch2
brain disease	431	3	0.785	0.13	0.14	Disease_Ontology	4	Notch2,Abcg2,Zfp715
lower respiratory tract disease	620	4	0.759	0.14	0.15	Disease_Ontology	3	Spp1,Cat,Cd44,Bcl2
obstructive lung disease	449	3	0.711	0.14	0.15	Disease_Ontology	5	Spp1,Cat,Bcl2
hepatobiliary disease	616	4	0.772	0.14	0.15	Disease_Ontology	3	Rb1,Spp1,Bcl2,Notch2
lung disease	611	4	0.789	0.14	0.15	Disease_Ontology	4	Spp1,Cat,Cd44,Bcl2
respiratory system disease	658	4	0.633	0.17	0.18	Disease_Ontology	2	Spp1,Cat,Cd44,Bcl2
eye and adnexa disease	510	3	0.481	0.19	0.2	Disease_Ontology	4	Sox2,Cat,Bcl2
eye disease	501	3	0.513	0.19	0.2	Disease_Ontology	5	Sox2,Cat,Bcl2
neurodegenerative disease	891	5	0.528	0.21	0.21	Disease_Ontology	4	Spp1,Cat,Frk,Abcg2,Cckar
viral infectious disease	758	4	0.334	0.25	0.26	Disease_Ontology	2	Rb1,Spp1,Bcl2,Vps4b
sensory system disease	583	3	0.239	0.27	0.27	Disease_Ontology	3	Sox2,Cat,Bcl2
psychotic disorder	626	3	0.11	0.31	0.31	Disease_Ontology	3	Cckar,Plcb1,Grik3
schizophrenia	624	3	0.115	0.31	0.31	Disease_Ontology	4	Cckar,Plcb1,Grik3
artery disease	892	4	-0.0143	0.38	0.38	Disease_Ontology	4	Sox2,Spp1,Cat,Cd44
